Time,Close Price,Difference,Return
2014-01-02,"1,831.9800",0.0000,0.0000
2014-01-03,"1,831.3700",-0.6100,-0.0333
2014-01-06,"1,826.7700",-4.6000,-0.2512
2014-01-07,"1,837.8800",11.1100,0.6082
2014-01-08,"1,837.4900",-0.3900,-0.0212
2014-01-09,"1,838.1300",0.6400,0.0348
2014-01-10,"1,842.3700",4.2400,0.2307
2014-01-13,"1,819.2000",-23.1700,-1.2576
2014-01-14,"1,838.8800",19.6801,1.0818
2014-01-15,"1,848.3800",9.5000,0.5166
2014-01-16,"1,845.8900",-2.4900,-0.1347
2014-01-17,"1,838.7000",-7.1901,-0.3895
2014-01-21,"1,843.8000",5.1001,0.2774
2014-01-22,"1,844.8600",1.0599,0.0575
2014-01-23,"1,828.4600",-16.4000,-0.8890
2014-01-24,"1,790.2900",-38.1699,-2.0875
2014-01-27,"1,781.5600",-8.7300,-0.4876
2014-01-28,"1,792.5000",10.9399,0.6141
2014-01-29,"1,774.2000",-18.3000,-1.0209
2014-01-30,"1,794.1900",19.9900,1.1267
2014-01-31,"1,782.5900",-11.6000,-0.6465
2014-02-03,"1,741.8900",-40.7000,-2.2832
2014-02-04,"1,755.2000",13.3099,0.7641
2014-02-05,"1,751.6400",-3.5599,-0.2028
2014-02-06,"1,773.4300",21.7900,1.2440
2014-02-07,"1,797.0200",23.5900,1.3302
2014-02-10,"1,799.8400",2.8199,0.1569
2014-02-11,"1,819.7500",19.9100,1.1062
2014-02-12,"1,819.2600",-0.4900,-0.0269
2014-02-13,"1,829.8300",10.5699,0.5810
2014-02-14,"1,838.6300",8.8000,0.4809
2014-02-18,"1,840.7600",2.1300,0.1158
2014-02-19,"1,828.7500",-12.0100,-0.6524
2014-02-20,"1,839.7800",11.0300,0.6031
2014-02-21,"1,836.2500",-3.5300,-0.1919
2014-02-24,"1,847.6100",11.3600,0.6187
2014-02-25,"1,845.1200",-2.4900,-0.1348
2014-02-26,"1,845.1600",0.0400,0.0022
2014-02-27,"1,854.2900",9.1300,0.4948
2014-02-28,"1,859.4500",5.1599,0.2783
2014-03-03,"1,845.7300",-13.7200,-0.7379
2014-03-04,"1,873.9100",28.1801,1.5268
2014-03-05,"1,873.8100",-0.1000,-0.0053
2014-03-06,"1,877.0300",3.2200,0.1718
2014-03-07,"1,878.0400",1.0100,0.0538
2014-03-10,"1,877.1700",-0.8700,-0.0463
2014-03-11,"1,867.6300",-9.5400,-0.5082
2014-03-12,"1,868.2000",0.5699,0.0305
2014-03-13,"1,846.3400",-21.8600,-1.1701
2014-03-14,"1,841.1300",-5.2100,-0.2822
2014-03-17,"1,858.8300",17.7000,0.9614
2014-03-18,"1,872.2500",13.4200,0.7220
2014-03-19,"1,860.7700",-11.4800,-0.6132
2014-03-20,"1,872.0100",11.2400,0.6041
2014-03-21,"1,866.5200",-5.4900,-0.2933
2014-03-24,"1,857.4400",-9.0801,-0.4865
2014-03-25,"1,865.6200",8.1801,0.4404
2014-03-26,"1,852.5600",-13.0599,-0.7000
2014-03-27,"1,849.0400",-3.5200,-0.1900
2014-03-28,"1,857.6200",8.5800,0.4640
2014-03-31,"1,872.3400",14.7200,0.7924
2014-04-01,"1,885.5200",13.1801,0.7039
2014-04-02,"1,890.9000",5.3800,0.2853
2014-04-03,"1,888.7700",-2.1300,-0.1126
2014-04-04,"1,865.0900",-23.6801,-1.2537
2014-04-07,"1,845.0400",-20.0499,-1.0750
2014-04-08,"1,851.9600",6.9199,0.3751
2014-04-09,"1,872.1800",20.2201,1.0918
2014-04-10,"1,833.0800",-39.1001,-2.0885
2014-04-11,"1,815.6900",-17.3900,-0.9487
2014-04-14,"1,830.6100",14.9200,0.8217
2014-04-15,"1,842.9800",12.3700,0.6757
2014-04-16,"1,862.3100",19.3301,1.0489
2014-04-17,"1,864.8500",2.5399,0.1364
2014-04-21,"1,871.8900",7.0400,0.3775
2014-04-22,"1,879.5500",7.6600,0.4092
2014-04-23,"1,875.3900",-4.1600,-0.2213
2014-04-24,"1,878.6100",3.2200,0.1717
2014-04-25,"1,863.4000",-15.2100,-0.8096
2014-04-28,"1,869.4300",6.0300,0.3236
2014-04-29,"1,878.3300",8.8999,0.4761
